0,265.030000,/tb3_0,/tb3_1,-3.35183,-10.4557,-9.19477,13.1869,0.348953,1.57895,15.3039,0.348953
1,269.960000,/tb3_0,/tb3_1,3.77867,6.28413,-12.3309,-4.14841,0.155665,1.50121,3.696,0.155665
2,270.050000,/tb3_0,/tb3_1,2.60489,9.30385,-11.3705,-6.84724,0.0857775,1.5708,6.9033,0.0857775
3,299.830000,/tb3_0,/tb3_1,0.373636,2.54988,-13.5127,-2.09251,0.0657725,1.83735,2.09784,0.0657725
4,334.850000,/tb3_0,/tb3_1,0.255471,3.34077,-13.4094,-2.75509,0.0570357,1.62069,2.7749,0.0570357
5,349.890000,/tb3_0,/tb3_1,2.05772,2.93611,-13.9783,0.903915,0.0933437,2.01629,1.11391,0.0933437
6,354.860000,/tb3_0,/tb3_1,3.02424,1.90131,-13.8506,2.23678,0.110203,1.9337,2.55904,0.110203
7,359.910000,/tb3_0,/tb3_1,4.46221,3.5068,-13.8445,0.665849,0.0994667,1.96765,1.11256,0.0994667
8,470.610000,/tb3_0,/tb3_1,10.64,2.40441,-11.5004,-8.79052,0.30118,1.63347,5.88937,0.30118
9,501.560000,/tb3_0,/tb3_1,11.4146,3.27394,-13.3175,-8.87433,0.528035,1.5708,4.37008,0.528035
10,635.240000,/tb3_0,/tb3_1,-4.61989,2.4305,-12.0297,-1.30712,0.185321,2.04327,1.56721,0.185321
11,635.280000,/tb3_0,/tb3_1,8.59774,1.37047,-13.1937,-1.37366,0.182886,2.09386,0.446113,0.182886
12,640.980000,/tb3_0,/tb3_1,-6.28129,1.3692,-13.7251,0.199869,-0.0239905,2.33645,0.309435,0.0239905
13,641.020000,/tb3_0,/tb3_1,-6.2846,1.3539,-14.8776,0.376658,-0.0264253,2.21154,0.857423,0.0264253
14,646.200000,/tb3_0,/tb3_1,7.0064,2.30415,-13.8634,-0.568696,-0.0298548,1.75355,0.804694,0.0298548
15,646.280000,/tb3_0,/tb3_1,6.97616,2.00686,-13.7345,-0.592925,0.0159995,2.25997,0.534745,0.0159995
16,646.340000,/tb3_0,/tb3_1,-6.75941,1.66118,-13.7194,-0.426089,0.020056,1.89474,0.375758,0.020056
17,651.570000,/tb3_0,/tb3_1,6.01706,-0.222341,-13.5833,1.63766,0.0158168,1.61937,1.78289,0.0158168
18,651.670000,/tb3_0,/tb3_1,6.18974,1.54136,-13.6999,-0.231239,0.0325126,2.15743,0.248668,0.0325126
19,651.740000,/tb3_0,/tb3_1,6.14379,2.1763,-13.6592,-0.797207,0.0214734,2.22008,0.727287,0.0214734
20,651.790000,/tb3_0,/tb3_1,6.08112,2.20063,-13.6121,-0.778155,0.0145163,1.72414,0.776236,0.0145163
21,658.420000,/tb3_0,/tb3_1,4.77717,-1.3193,-13.4659,2.41046,0.0819806,2.05094,2.87508,0.0819806
22,658.520000,/tb3_0,/tb3_1,5.19536,2.02964,-13.7866,-0.557037,0.00273368,2.55172,0.581281,0.00273368
23,658.570000,/tb3_0,/tb3_1,3.54732,7.94918,-12.0894,-6.48654,0.00686259,1.53191,6.7236,0.00686259
24,658.620000,/tb3_0,/tb3_1,5.16921,2.66572,-13.7783,-1.15487,-0.00464876,2.02765,1.20193,0.00464876
25,717.680000,/tb3_0,/tb3_1,8.50967,1.42208,-13.2319,-1.00898,0.134045,1.91375,0.514825,0.134045
26,717.720000,/tb3_0,/tb3_1,8.50967,1.42208,-14.8391,0.741312,-0.0752663,1.91943,0.762547,0.0752663
27,717.770000,/tb3_0,/tb3_1,8.50967,1.42208,-15.298,0.0854286,0.00208893,1.53614,1.30512,0.00208893
